Gene	full_length	coding_length	GC	CpG	RepliSeq_ENCFF001GNK_GM12878	RepliSeq_ENCFF001GNN_GM12878	RepliSeq_ENCFF001GOW_HeLa-S3	RepliSeq_ENCFF001GRX_K562	RepliSeq_ENCFF001GOA_GM12878	RepliSeq_ENCFF001GSJ_K562	RepliSeq_ENCFF001GSP_K562	RepliSeq_ENCFF001GTK_MCF-7	RepliSeq_ENCFF001GNT_GM12878	RepliSeq_ENCFF001GNR_GM12878	RepliSeq_ENCFF001GNX_GM12878	RepliSeq_ENCFF001GSN_K562	RepliSeq_ENCFF001GSB_K562	RepliSeq_ENCFF001GTH_MCF-7	RepliSeq_ENCFF001GSX_MCF-7	RepliSeq_ENCFF001GSF_K562	RepliSeq_ENCFF001GON_HeLa-S3	RepliSeq_ENCFF001GOQ_HeLa-S3	RepliSeq_ENCFF001GOS_HeLa-S3	RepliSeq_ENCFF001GOJ_HeLa-S3	RepliSeq_ENCFF001GTD_MCF-7	RepliSeq_ENCFF001GTF_MCF-7	RepliSeq_ENCFF001GSV_MCF-7
MRM1	2.88420715852	0.0827025893302	0.636	0.522	20.600	3.000	4.500	33.000	1.000	21.778	3.600	1.000	25.833	43.500	6.000	3.333	7.000	6.500	7.600	31.400	19.000	31.000	19.000	4.500	36.500	29.500	19.000
MRM2	2.98331287107	-0.438307278602	0.568	0.491	57.800	7.000	3.000	58.333	1.000	5.000	3.333	1.000	4.500	29.000	1.000	1.000	5.667	2.000	6.500	27.600	31.500	7.500	3.000	5.500	26.500	6.500	57.500
MRM3	3.34780736791	0.333423733725	0.556	0.607	18.667	5.000	4.333	20.200	1.000	23.167	8.500	1.000	36.400	34.800	4.500	12.333	4.000	8.500	6.000	32.333	32.667	19.000	6.667	4.500	32.000	24.500	28.500
MRNIP	4.43128865429	0.0412429822319	0.570	0.336	39.500	4.571	2.000	46.000	1.500	11.333	2.500	1.000	19.286	31.900	4.556	2.333	5.167	4.600	7.000	32.625	33.333	12.200	2.600	4.500	32.000	11.667	43.714
MRO	4.91957844594	-0.176250639692	0.485	0.404	11.909	4.500	3.600	13.364	1.000	34.421	4.500	10.200	38.923	34.846	9.700	13.583	2.667	37.688	6.143	31.500	30.100	40.167	12.500	6.167	8.167	30.643	6.500
MROH1	6.83194056034	2.33571191032	0.636	0.495	54.800	9.943	3.167	73.043	1.625	1.500	3.474	2.083	4.095	32.386	1.000	1.833	4.923	2.167	11.567	19.611	40.717	6.800	4.261	9.379	14.853	5.333	67.696
MROH2A	5.85162412735	2.34027740477	0.564	0.355	5.235	2.000	2.500	9.688	2.500	46.816	7.067	2.667	44.045	26.000	21.000	24.633	3.500	14.136	6.722	9.118	44.417	22.000	3.500	4.500	24.429	40.409	12.158
MROH2B	6.19619390963	2.24944534109	0.462	0.228	2.167	3.929	10.800	13.103	24.745	30.022	5.762	39.812	26.062	8.840	35.044	6.944	3.200	27.971	16.704	40.710	10.000	32.750	39.423	4.706	3.000	9.200	4.300
MROH5	6.19774746791	1.98331287107	0.614	0.384	38.667	4.294	2.200	46.674	2.000	16.645	1.750	1.000	16.429	37.581	2.778	3.769	4.154	3.833	5.714	28.857	36.500	35.000	9.500	4.429	41.667	22.278	27.478
MROH6	2.71501474991	1.1090261765	0.705	0.605	56.500	10.333	3.000	72.556	1.000	1.500	2.667	1.500	9.000	22.500	1.000	1.000	4.000	2.000	7.500	19.143	18.000	5.000	3.500	6.000	14.500	4.000	71.000
MROH7	6.09862167723	1.98877556234	0.574	0.303	7.565	1.714	2.500	12.478	1.400	32.688	2.667	1.333	53.324	31.270	4.556	3.000	4.588	4.133	6.692	45.172	26.900	49.750	8.167	3.833	39.030	37.571	10.917
MROH8	6.29210072478	1.64892555945	0.494	0.361	66.195	10.045	1.714	40.545	1.500	2.900	5.062	1.333	2.333	20.556	1.333	3.867	5.136	2.944	7.722	43.000	45.120	20.556	2.700	6.435	44.103	10.120	35.128
MROH9	7.01452267517	1.43616183931	0.407	0.312	4.059	5.500	42.766	4.286	36.562	2.182	55.873	41.200	10.972	3.211	41.753	15.957	20.136	13.595	32.647	2.842	1.000	1.500	8.267	43.935	2.500	3.824	6.192
MRPL1	6.49409554494	-0.0365258760251	0.384	0.481	6.300	3.000	4.500	13.872	3.000	38.702	5.800	11.667	40.588	12.100	37.654	14.783	5.833	32.000	6.750	23.764	28.188	33.476	12.143	4.864	13.800	30.088	6.471
MRPL10	3.0478873294	-0.209227962138	0.587	0.380	69.667	7.400	3.000	77.000	1.333	1.500	3.000	1.000	1.500	19.500	1.333	1.400	8.000	3.000	6.500	9.500	42.500	7.000	2.000	4.667	23.000	6.000	61.500
MRPL11	1.91609442294	-0.630393929968	0.553	0.472	53.833	6.500	3.000	53.000	2.333	4.500	2.500	1.500	5.000	30.750	2.000	2.333	4.500	3.000	7.333	32.750	34.500	3.500	2.000	5.333	23.667	4.000	60.000
MRPL12	2.05554274796	-0.751465163861	0.608	0.621	77.000	10.000	2.500	85.500	1.000	1.000	1.000	1.000	1.000	11.600	1.000	3.000	3.500	2.000	8.000	6.500	11.000	2.000	2.500	8.000	5.000	4.000	81.000
MRPL13	5.63124982537	-0.905088352975	0.421	0.295	1.000	5.000	28.647	7.786	46.394	2.714	40.194	25.000	11.385	3.727	33.550	14.760	32.304	34.467	8.067	1.400	10.667	17.375	26.167	9.300	9.222	19.067	5.000
MRPL14	3.81126550378	-0.715485866756	0.522	0.459	55.500	5.500	2.000	44.667	1.000	4.500	3.500	1.667	3.000	34.778	1.000	2.000	5.800	1.667	6.500	39.444	25.000	2.667	1.500	6.000	30.429	7.500	53.167
MRPL15	3.7327033539	-0.171368418312	0.473	0.485	23.286	7.833	2.500	38.250	1.500	10.600	7.667	4.000	16.571	51.300	1.000	1.000	7.000	18.857	7.000	37.333	48.400	18.600	1.500	4.600	23.333	34.200	12.571
MRPL16	2.24427819858	-0.40927822999	0.515	0.502	8.000	5.000	3.000	16.833	4.333	17.500	3.500	16.600	38.500	33.000	12.000	4.333	4.333	33.800	9.500	53.000	35.000	26.000	8.500	6.500	10.000	22.600	7.600
MRPL17	1.59311469648	-0.929610672109	0.575	0.714	51.429	7.500	7.714	52.300	1.000	3.600	4.500	7.000	6.000	33.833	1.000	1.000	6.500	23.667	7.833	33.143	18.000	31.667	28.500	3.000	16.667	37.143	7.500
MRPL18	3.10735309845	-0.888968687611	0.541	0.644	20.667	3.250	7.333	24.667	1.500	26.125	3.000	10.200	32.125	40.143	2.500	11.500	2.333	31.500	7.500	31.750	21.000	24.000	25.000	4.800	18.167	27.429	4.800
MRPL19	3.94729211089	-0.190997225061	0.471	0.683	8.429	1.000	11.000	11.500	2.500	13.667	21.727	35.333	44.286	34.889	9.000	38.583	9.167	36.714	10.833	5.800	16.200	29.200	29.000	3.500	3.000	10.000	4.500
MRPL2	2.46388398047	-0.128156351491	0.583	0.593	64.400	7.000	3.000	54.000	1.000	5.500	2.600	1.000	2.000	26.333	1.000	3.000	4.000	2.000	7.500	31.000	42.000	13.000	2.000	5.000	30.500	8.400	49.800
MRPL20	2.43776039354	-1.06793882866	0.530	0.630	79.111	6.500	3.500	72.700	1.000	5.500	1.500	1.500	1.000	11.167	1.000	4.200	5.833	4.000	7.000	10.500	17.000	3.000	1.600	7.500	4.500	3.000	79.500
MRPL21	3.65053481231	-0.701341684435	0.517	0.561	6.000	2.000	3.667	14.333	1.000	32.000	1.500	1.500	46.000	38.200	6.500	3.333	5.000	4.000	5.667	44.500	43.000	16.500	2.667	4.000	30.833	9.800	47.200
MRPL22	4.82471694557	-0.694321256758	0.466	0.510	19.000	1.333	3.500	42.500	1.500	14.077	1.600	1.500	30.818	32.583	14.562	1.600	7.500	5.500	5.700	32.214	36.545	20.400	8.400	3.571	37.556	18.167	30.333
MRPL23	3.22311358858	-1.12343394125	0.614	0.764	23.286	4.000	3.500	27.444	1.000	26.500	6.333	1.500	33.800	29.000	8.500	12.000	9.333	2.500	7.500	19.000	24.500	20.000	7.000	6.000	12.200	3.333	72.800
MRPL24	1.93734439215	-0.625934281777	0.542	0.423	66.000	10.000	4.333	76.500	1.000	3.667	3.000	1.000	2.500	20.400	1.000	1.333	7.500	2.000	9.000	8.000	17.000	3.000	3.000	8.000	12.500	4.500	70.800
MRPL27	2.41548827105	-1.17136841831	0.543	0.490	44.500	6.333	1.500	44.714	1.000	4.800	3.000	1.000	4.500	43.000	1.000	2.667	8.000	2.000	8.500	37.500	34.500	7.000	1.000	5.500	21.500	3.333	63.000
MRPL28	1.67174626686	-0.380821783941	0.604	0.502	81.000	6.500	3.000	84.500	1.000	1.333	1.500	1.000	1.000	10.500	1.000	1.333	6.500	1.000	9.000	6.333	8.500	1.667	2.500	8.400	7.333	3.500	78.000
MRPL3	5.35106289894	0.0621217119078	0.443	0.414	4.600	2.200	47.895	23.250	7.929	29.069	8.947	19.786	40.318	5.714	39.471	30.700	4.333	38.846	6.111	6.450	1.500	4.714	30.769	11.778	8.000	21.462	5.500
MRPL30	4.20781478162	-1.04990490583	0.420	0.235	12.333	2.000	5.500	4.667	3.333	31.889	12.167	1.500	37.500	21.077	24.091	30.091	3.000	8.000	6.500	17.000	28.500	27.000	10.500	4.500	38.000	33.250	12.500
MRPL32	2.46336088582	-0.826232932263	0.514	0.569	4.500	1.400	29.429	17.889	3.500	34.000	6.000	7.000	43.600	14.800	34.000	12.333	3.000	25.000	5.500	26.500	6.400	19.000	31.333	10.500	20.333	33.000	9.500
MRPL33	3.00450139223	-1.89432192211	0.431	0.730	5.500	5.500	3.667	9.500	2.000	29.500	4.500	2.000	39.500	41.833	5.333	1.000	7.000	4.500	7.000	47.857	31.500	6.500	2.333	5.667	45.600	18.000	22.400
MRPL34	0.233888060174	-1.85725982788	0.681	0.688	79.000	8.000	3.000	74.429	1.000	1.333	2.000	1.500	1.000	12.000	1.300	2.000	8.000	1.667	8.400	12.200	12.500	3.000	2.000	8.000	8.333	5.000	75.167
MRPL35	3.79929457495	-0.826232932263	0.449	0.458	36.400	4.667	2.500	28.000	1.000	29.778	2.000	1.500	19.286	37.818	1.500	3.800	2.500	7.667	6.600	34.556	28.000	29.000	9.333	5.000	37.111	30.167	16.600
MRPL36	0.543990719665	-1.69432125676	0.550	0.600	15.400	4.000	17.500	5.500	1.000	30.000	10.500	1.000	37.500	26.400	15.500	41.800	6.333	9.500	6.000	6.500	3.500	24.800	47.000	4.000	37.167	26.667	19.600
MRPL37	4.66237642496	0.607862902831	0.531	0.578	12.636	3.000	3.000	18.000	1.333	15.182	1.000	1.000	42.364	36.357	5.500	1.500	5.167	3.000	5.500	59.750	40.857	16.000	2.500	6.000	43.833	23.000	23.667
MRPL38	2.69108744095	0.18903382439	0.628	0.625	79.500	8.500	3.000	82.800	1.000	2.000	1.000	1.000	1.000	11.000	1.000	1.000	6.200	2.500	9.000	8.333	10.000	2.333	2.000	7.000	6.500	2.667	78.167
MRPL39	4.4485045519	0.141432790929	0.429	0.455	52.286	7.200	23.500	6.500	1.500	5.600	54.300	37.571	4.833	32.625	1.000	19.333	13.889	30.889	12.429	1.000	4.000	18.500	41.600	7.833	2.500	11.500	4.800
MRPL4	3.01738747753	-0.0247366783215	0.651	0.664	78.400	14.571	2.667	84.000	2.000	1.000	1.000	2.500	1.000	2.500	1.500	1.667	7.000	2.500	8.500	6.833	10.667	2.667	2.500	7.000	6.500	4.000	75.833
MRPL40	2.0624671435	-0.694321256758	0.503	0.460	12.667	1.000	3.333	18.000	1.000	26.500	2.500	1.000	50.000	28.000	8.667	2.500	4.200	4.000	7.500	45.333	42.200	30.000	4.000	5.000	38.500	9.500	38.800
MRPL41	-0.516635639287	-1.28278970098	0.657	0.880	50.667	3.500	3.000	71.714	1.000	1.000	1.000	1.000	7.000	38.000	1.000	3.500	4.500	4.400	8.400	18.286	27.667	6.000	2.500	5.500	20.500	7.500	58.500
MRPL42	5.18122184255	-1.23107466444	0.399	0.354	50.955	6.800	3.800	44.893	1.000	3.700	1.500	2.500	8.615	31.667	1.000	2.000	5.000	5.429	5.571	43.480	37.400	32.353	3.500	6.333	29.071	15.133	41.750
MRPL43	3.27768725373	-0.169744675832	0.614	0.758	44.500	4.500	2.667	58.333	2.000	5.500	3.500	1.000	12.667	33.600	2.000	4.000	8.333	3.000	8.000	20.286	13.500	4.000	3.000	8.500	18.000	9.500	61.167
MRPL44	3.36611235243	-0.00578235259401	0.478	0.512	35.000	7.333	2.000	6.750	9.000	18.667	27.750	7.500	15.000	18.000	15.667	21.556	8.667	14.000	5.667	17.889	42.500	14.800	3.000	5.000	26.286	27.667	18.200
MRPL45	4.70669630652	-0.123433941248	0.465	0.483	49.471	7.667	3.000	26.150	1.667	11.750	5.182	1.333	5.000	35.364	1.500	3.750	2.000	1.500	12.692	51.600	12.500	2.000	2.500	7.833	13.688	5.455	65.850
MRPL46	2.98641093525	-0.256700472112	0.530	0.497	10.600	1.667	48.714	14.000	6.000	33.889	4.333	8.000	32.667	16.500	32.833	3.667	5.833	31.200	5.500	37.857	2.000	6.500	27.000	14.000	12.667	34.800	7.333
MRPL47	4.01613970266	-0.415037499279	0.425	0.355	21.818	5.000	9.000	15.111	2.500	30.000	3.500	14.800	24.143	41.733	4.000	7.000	4.000	23.200	7.667	41.429	30.000	15.833	8.667	5.833	17.250	26.500	10.500
MRPL48	6.26190685983	-0.291592016516	0.463	0.253	72.316	6.789	4.000	58.843	1.333	2.375	2.700	1.500	3.600	15.853	1.000	1.857	3.364	3.333	7.500	30.891	26.211	4.000	2.500	6.864	27.320	6.071	54.147
MRPL49	2.3749003697	-1.00578235259	0.576	0.459	80.000	9.500	3.000	72.333	1.000	1.000	3.000	1.000	1.000	8.000	1.263	3.000	7.000	2.000	8.500	14.333	24.500	4.000	2.000	6.667	9.667	3.000	75.500
MRPL50	3.11619838466	-1.07704103576	0.437	0.443	1.000	12.500	27.600	11.667	53.571	20.500	17.500	39.200	3.500	1.000	30.000	27.500	7.667	9.333	40.833	15.000	8.500	17.833	34.200	9.000	2.000	2.000	6.500
MRPL51	0.209141397839	-1.38082178394	0.505	0.705	74.200	9.833	1.333	74.500	1.000	6.500	3.000	1.500	1.000	13.800	1.500	2.000	2.333	2.667	8.000	11.833	15.200	2.000	2.333	6.000	11.000	4.500	72.667
MRPL52	2.36597242759	-1.41119543298	0.569	0.495	83.000	11.400	2.000	62.500	1.000	2.000	2.500	2.000	1.000	3.600	1.000	1.500	5.000	2.000	7.500	26.000	31.000	5.333	2.667	6.000	37.500	10.000	41.000
MRPL53	-0.220950447163	-1.57346686188	0.625	0.977	76.833	10.400	3.000	55.400	1.000	3.200	2.000	1.000	1.000	10.500	1.000	1.000	7.667	2.667	7.333	30.600	29.500	6.000	2.000	6.000	30.600	7.500	49.833
MRPL54	2.29248729162	-1.27229732716	0.601	0.616	26.500	2.000	3.500	64.286	1.000	2.000	2.000	1.500	13.500	55.400	1.000	2.000	6.333	2.000	6.000	23.400	19.500	3.000	2.000	5.000	14.500	3.500	72.000
MRPL55	1.39725534559	-1.02326977932	0.652	0.535	8.000	2.500	2.000	17.400	1.000	24.778	1.500	2.000	43.500	21.000	23.667	4.000	4.500	4.000	6.500	48.000	40.000	10.500	2.000	5.500	37.000	12.000	38.800
MRPL57	1.51045562166	-1.70839644197	0.644	1.010	7.667	5.000	1.000	17.200	2.333	41.875	2.500	1.000	49.500	26.500	9.000	15.000	4.667	4.500	5.000	19.833	37.833	11.800	4.500	8.000	38.800	33.500	17.333
MRPL58	3.10400111032	-0.531156057025	0.549	0.615	65.000	3.500	3.500	73.800	1.000	2.000	2.000	1.500	3.000	28.000	1.000	1.000	5.000	3.000	7.333	16.667	17.000	2.000	2.000	7.000	8.333	3.333	76.500
MRPL9	2.095586908	-0.320125852253	0.557	0.687	16.500	3.000	2.500	21.000	1.000	24.600	5.000	1.000	21.000	56.875	2.000	3.000	4.667	4.333	10.000	40.333	51.333	11.500	1.000	5.500	26.400	7.500	50.500
MRPS10	3.47183776242	-0.729770092762	0.418	0.498	50.909	3.500	2.000	35.700	1.000	5.500	3.000	1.000	3.667	40.750	1.000	2.667	4.500	3.000	4.667	48.444	26.800	4.000	2.500	7.000	23.333	5.333	63.250
MRPS11	3.73498052344	-0.288064643021	0.534	0.518	9.600	2.000	47.400	12.400	5.500	33.400	3.500	6.500	34.000	16.500	32.200	4.500	7.750	31.000	5.500	38.364	2.400	7.500	28.500	11.800	14.000	36.333	7.000
MRPS12	1.20914139784	-1.27229732716	0.652	0.570	62.571	9.000	3.000	71.125	1.000	2.500	3.000	1.667	2.667	23.400	1.000	3.000	7.000	2.500	8.500	14.250	27.500	17.000	13.000	6.500	21.500	3.667	62.000
MRPS14	3.39204259755	-1.38082178394	0.510	0.893	35.750	3.000	32.500	10.500	3.000	17.167	17.143	40.500	25.800	28.500	3.667	29.500	9.000	23.500	14.500	16.500	10.000	13.000	23.500	11.500	6.500	8.500	7.000
MRPS15	3.11752882399	-0.375197234747	0.516	0.584	46.857	6.400	2.000	39.800	1.000	4.000	2.500	2.000	5.500	39.200	1.000	3.500	4.000	3.000	9.000	45.833	34.000	5.500	3.000	5.000	21.500	2.667	62.429
MRPS16	1.94523312313	-1.28278970098	0.535	0.444	34.500	4.667	2.600	41.000	1.000	5.000	4.000	1.500	12.800	46.000	1.500	2.000	5.500	3.500	6.333	41.500	33.667	8.000	1.500	8.500	41.500	18.400	28.167
MRPS17	1.77526129235	-1.35845397091	0.454	0.450	10.000	1.500	6.500	34.000	6.500	11.556	6.833	22.333	38.143	15.667	27.500	19.333	3.000	31.000	8.667	24.833	30.000	17.000	10.667	5.500	11.800	17.400	8.500
MRPS18A	4.05450121618	-0.766111939826	0.580	0.567	76.429	12.250	3.500	65.400	1.500	3.000	2.000	1.500	1.000	8.000	1.000	2.000	6.167	3.000	7.800	20.714	21.500	2.000	3.000	6.500	24.667	8.500	54.455
MRPS18B	3.11919014965	-0.369594528518	0.548	0.454	75.200	10.000	2.333	64.000	1.500	6.500	2.000	1.000	1.000	13.500	1.000	2.000	5.200	2.500	8.333	20.250	19.000	3.500	2.000	8.500	18.286	5.500	65.400
MRPS18C	2.53406160242	-1.23107466444	0.427	0.314	36.714	8.500	1.500	22.875	2.000	22.111	3.500	1.600	6.500	44.800	1.333	5.000	4.000	6.000	5.000	42.000	46.600	14.500	3.500	7.667	39.000	34.000	14.667
MRPS2	2.01542620361	-0.171368418312	0.617	0.780	4.500	1.000	3.333	40.500	4.500	17.400	2.333	1.000	43.167	8.400	38.500	4.000	8.800	4.000	5.500	26.571	22.000	33.500	18.500	4.000	37.500	26.000	25.500
MRPS21	3.92153154249	-1.93787828809	0.517	0.826	55.857	6.429	2.500	62.545	1.500	2.750	4.600	1.333	2.500	32.125	1.000	1.500	3.200	4.500	10.500	26.875	20.500	4.000	2.500	7.500	25.500	6.500	51.556
MRPS22	3.70343297745	0.111031312389	0.453	0.562	2.500	2.857	6.500	27.231	16.000	23.250	3.500	15.250	20.714	1.333	56.900	6.714	4.000	36.800	7.000	35.778	24.500	24.333	24.200	5.000	7.400	28.500	5.500
MRPS23	3.47858358373	-0.81096617561	0.511	0.681	60.500	8.500	3.500	28.667	2.000	20.375	1.500	1.000	2.333	26.000	1.000	1.600	4.667	3.000	7.000	42.286	39.500	11.500	2.500	5.000	27.000	10.333	52.000
MRPS24	1.57966289702	-0.997117491467	0.601	0.708	62.500	6.500	4.000	44.200	1.000	3.500	2.000	1.000	3.667	26.000	1.000	3.500	3.667	2.333	6.667	42.625	24.500	2.333	3.000	6.000	28.800	5.333	55.000
MRPS25	4.52900881168	-0.946193556304	0.538	0.431	37.600	5.167	2.500	22.273	1.000	24.714	3.000	1.000	8.200	47.000	1.333	6.500	3.500	4.500	5.857	39.231	29.500	22.500	4.556	5.667	43.857	21.500	23.000
MRPS26	1.15185881673	-0.701341684435	0.681	0.824	33.000	2.000	3.000	44.875	1.000	1.000	2.500	1.000	17.000	46.500	1.000	2.500	5.500	4.000	6.333	42.429	36.000	10.000	2.000	5.600	30.333	6.000	53.000
MRPS27	6.6560529683	0.36064520246	0.459	0.222	21.082	2.769	2.500	15.792	1.000	33.172	3.500	5.214	34.000	38.564	4.944	27.879	6.297	31.128	5.278	13.537	38.639	28.441	6.960	5.643	16.056	35.467	7.037
MRPS28	6.79976082109	-0.833927324053	0.488	0.709	22.963	2.000	1.667	18.500	1.250	23.328	3.773	6.667	24.115	48.965	1.769	4.320	4.524	26.538	5.294	48.309	42.103	32.200	4.250	5.000	20.811	30.278	10.265
MRPS30	2.72071624252	0.397255345594	0.512	0.929	1.000	13.250	2.000	7.000	50.286	1.500	43.556	29.167	6.000	1.000	28.143	9.200	38.000	36.167	9.500	1.000	19.500	42.500	19.500	5.000	8.500	13.500	4.000
MRPS31	5.38942914345	0.244887059124	0.426	0.392	46.929	6.800	2.571	23.038	1.000	18.680	5.500	7.500	6.833	37.593	1.000	5.857	11.125	23.524	7.625	39.464	28.500	41.955	7.000	4.222	17.643	31.368	12.333
MRPS33	3.14094221738	-1.65290132938	0.447	0.506	10.500	4.000	10.500	6.000	4.000	50.000	3.500	1.000	48.167	23.500	10.167	20.286	6.500	6.500	7.500	13.571	10.500	36.333	31.333	5.000	29.500	16.600	38.800
MRPS34	0.316145742293	-0.567040592724	0.662	0.986	39.429	4.333	2.000	45.286	1.000	3.000	6.667	1.000	9.500	45.286	1.000	2.000	8.333	2.000	4.500	35.500	31.500	16.500	3.000	5.000	24.000	3.500	65.000
MRPS35	5.50880892623	-0.045431429247	0.433	0.507	37.182	4.500	2.500	10.526	2.286	37.032	4.357	2.167	10.211	44.654	2.000	10.062	4.500	8.941	7.000	34.276	38.733	16.300	3.571	4.833	31.227	32.720	18.375
MRPS36	3.63377992607	-1.69432125676	0.414	0.226	34.500	8.667	5.000	64.000	2.000	5.000	2.500	1.000	12.000	41.250	1.500	3.333	3.667	3.333	12.500	22.714	27.000	5.500	2.000	5.500	31.286	11.000	40.429
MRPS5	5.19522946889	0.367371065649	0.502	0.450	20.778	1.000	26.786	4.333	3.818	36.550	15.789	3.500	31.632	22.312	21.091	28.167	4.889	16.733	6.000	11.333	5.222	14.692	44.053	5.111	23.867	32.733	16.944
MRPS6	6.11919014965	-1.41503749928	0.488	0.497	40.974	6.158	3.100	11.409	1.167	44.804	2.800	1.833	11.808	42.429	1.000	11.760	4.455	12.346	7.400	26.967	15.250	49.429	23.882	4.071	33.214	36.069	9.630
MRPS7	2.23542072264	-0.461958546666	0.540	0.473	77.000	8.200	3.000	70.333	2.000	2.500	6.500	1.500	1.000	11.833	1.000	2.000	4.000	2.500	9.500	14.750	18.500	2.500	2.000	5.500	15.143	4.500	66.500
MRPS9	5.95270630763	0.248534836139	0.449	0.561	4.353	5.500	25.864	7.333	28.125	22.030	14.613	15.053	14.214	8.263	39.758	35.919	6.600	35.423	5.333	14.200	3.000	21.200	40.833	6.462	10.474	26.320	7.069
MRRF	5.92393355745	-0.236163541109	0.458	0.247	4.692	1.000	9.500	18.974	3.455	22.724	4.053	2.000	54.000	11.842	25.577	1.500	4.000	8.214	7.000	50.000	13.333	31.643	33.962	4.000	36.500	35.895	11.615
MRS2	4.54145288798	0.490570130446	0.456	0.482	8.900	1.500	2.500	8.222	1.500	26.429	12.000	1.667	43.467	31.400	12.750	43.294	4.000	10.833	7.000	6.900	41.250	16.000	3.500	8.000	30.786	28.727	21.500
MRTO4	3.095586908	-0.47995497596	0.527	0.384	27.444	2.500	4.500	42.000	3.500	30.600	1.000	1.500	22.167	41.333	3.000	9.333	5.600	3.500	8.000	12.500	15.000	15.500	16.000	4.000	28.500	14.500	42.667
MRVI1	6.91764656824	1.47456583454	0.563	0.349	13.175	2.600	2.357	13.458	1.333	28.200	2.933	1.000	41.116	34.463	9.333	4.379	4.533	6.161	6.743	46.958	29.000	47.111	9.133	3.250	38.556	29.811	17.878
MS4A1	3.90149445505	-0.16650266314	0.422	0.177	39.000	8.000	51.857	7.500	1.333	40.667	3.000	37.167	12.571	38.000	1.333	27.167	5.000	26.600	11.333	16.600	1.000	1.000	16.500	28.000	5.667	13.500	5.500
MS4A10	3.99620794627	-0.320125852253	0.547	0.288	39.250	6.000	5.500	32.250	1.000	18.222	2.333	1.333	7.000	46.500	2.469	2.000	4.500	10.000	5.000	40.286	11.000	39.500	35.000	3.500	35.000	34.400	14.400
MS4A12	3.87292723365	-0.320125852253	0.461	0.212	37.200	4.500	53.167	8.200	1.667	38.143	6.500	28.500	15.667	41.700	2.000	26.100	2.500	32.500	10.800	18.000	1.000	1.500	16.571	24.800	7.000	17.300	4.333
MS4A13	4.77114608703	-1.1328942705	0.344	0.444	33.105	4.167	52.333	13.800	2.000	40.625	5.000	20.909	16.154	42.688	1.833	18.067	4.333	35.059	13.000	20.562	1.333	3.300	18.455	22.333	5.833	20.333	5.200
MS4A14	4.44241275178	1.09491164703	0.429	0.178	39.944	5.600	53.000	5.833	1.000	36.636	5.500	41.714	15.600	39.083	1.000	35.286	2.800	29.800	11.200	13.545	1.000	1.571	14.667	27.833	2.500	9.778	4.500
MS4A15	4.31215688831	-0.473931188332	0.599	0.470	38.000	5.000	8.500	25.273	1.000	19.333	3.143	1.500	8.500	48.636	1.500	1.000	5.167	12.833	5.500	47.917	8.000	32.750	42.500	3.000	32.000	36.167	11.857
MS4A18	4.33664044641	0.255802836603	0.502	0.277	30.231	5.333	14.143	17.462	1.000	22.917	5.200	2.000	10.000	52.846	1.500	3.000	6.000	15.250	6.500	46.000	5.500	24.167	48.333	3.500	28.167	37.000	10.200
MS4A2	3.2933704842	-0.450084446378	0.433	0.088	17.000	4.500	27.000	17.333	3.000	39.222	2.500	42.400	36.600	23.000	15.833	11.250	6.400	21.500	21.500	23.000	3.500	21.500	39.500	4.500	3.000	5.500	6.000
MS4A3	3.85678654629	-0.63935479754	0.458	0.149	7.500	4.000	21.167	17.167	1.500	30.571	3.500	43.500	45.600	25.000	16.250	13.500	2.857	22.167	21.000	33.385	6.000	25.000	38.700	4.429	2.000	5.800	6.167
MS4A4A	4.82944368137	-0.47995497596	0.462	0.105	31.222	4.250	46.273	12.583	2.800	37.048	5.333	43.294	19.800	39.000	2.500	26.526	2.500	24.100	16.909	15.750	1.000	3.500	28.500	18.182	1.500	9.000	5.143
MS4A4E	5.38667301492	-0.708396441969	0.538	0.498	26.130	3.000	41.238	16.467	2.250	31.481	2.750	47.308	27.190	36.684	4.222	21.917	7.167	21.214	22.190	20.000	1.000	7.500	35.667	13.722	1.500	3.500	4.545
MS4A5	4.18618358631	-0.736965594166	0.380	0.186	40.222	8.500	51.778	5.429	1.000	43.000	4.000	38.200	12.222	37.000	1.000	27.455	7.000	27.000	11.429	13.727	1.000	1.333	16.000	28.200	5.000	12.571	5.500
MS4A6A	3.70708299177	-0.231074664436	0.445	0.144	20.857	4.500	33.400	20.500	1.500	37.000	2.000	46.000	31.250	35.167	6.667	16.286	3.000	18.286	24.500	22.000	1.000	14.000	37.800	9.500	2.000	4.500	4.333
MS4A6E	2.60573136582	-1.1811494391	0.481	0.158	42.571	4.500	48.000	11.600	1.500	34.167	5.000	42.600	14.500	35.600	1.000	29.571	6.500	25.833	15.571	13.143	1.000	2.000	21.500	24.800	1.000	9.333	5.000
MS4A7	4.12672511949	-0.473931188332	0.461	0.160	42.000	5.000	55.000	11.250	1.000	32.714	5.000	42.500	15.000	36.200	1.000	36.333	1.667	30.857	12.000	13.167	1.000	1.600	15.000	25.833	1.500	9.600	3.000
MS4A8	4.02139088877	-0.415037499279	0.513	0.407	25.286	4.333	19.714	20.500	1.000	28.000	3.000	4.500	15.000	52.600	2.000	4.000	2.500	19.500	6.500	41.250	4.000	21.000	48.000	4.000	26.500	35.667	7.500
